Domain,Is_WordPress,Confidence,Version,Risk_Score,CVE_Count,Plugins_Count
"searcheccentric.com",True,90,"6.6.4",0,0,12
"sitepoint.com",False,20,"",0,0,0
"toppage.vn",True,50,"6.9",13,0,3
"betterstudio.com",True,90,"6.1.9",13,0,12
"zipwp.com",True,65,"",5,0,8
"youtube.com",False,0,"",0,0,0
"mightyshare.io",True,50,"",5,0,8
"webdesign.tutsplus.com",False,15,"",0,0,0
"khotheme.vn",True,90,"6.9",13,0,7
"avada.com",True,75,"",13,0,2
"wpcompendium.org",True,90,"6.9",5,0,15
"losveranoscanopy.com",True,90,"",16,2,9
"google.com",False,0,"",0,0,0
"moingay1cuonsach.com.vn",True,50,"",0,0,8
"secnhack.in",True,90,"6.9",0,0,8
"thuanducjsc.com.vn",True,90,"6.9",13,0,2
"rgbwebtech.com",True,55,"",5,0,0
"wordpress.org",True,90,"7.0",13,0,3
"kalilinuxtutorials.com",True,90,"6.9",0,0,7
"ngamotunews.co.nz",True,65,"6.9",5,0,9
"bammihanquoc.vn",False,0,"",0,0,0
"netweb.io.vn",True,90,"6.9",13,0,7
"wpklik.com",True,90,"6.9",13,0,11
"appraisee.co.uk",True,75,"",13,0,10
"greengeeks.com",False,0,"",0,0,0
"alovoice.vn",False,25,"",0,0,0
"geoffkenyon.com",True,90,"6.4.7",29,2,5
"linkedin.com",False,0,"",0,0,0
"dorkplus.com",False,0,"",0,0,0
"zhead.dev",False,0,"",0,0,0
"tr.freelancer.com",False,0,"",0,0,0
"fixrunner.com",False,0,"",0,0,0
"loginpress.pro",True,65,"6.9",5,0,11
"bluehost.com",False,15,"",0,0,0
"meso.com.vn",True,90,"6.0.2",33,2,18
"tino.vn",False,0,"",0,0,0
"blog.getbind.co",True,90,"6.9",0,0,11
"views.fr",False,0,"",0,0,0
"smartwp.com",True,75,"",5,0,9
"8theme.com",True,90,"",13,0,10
"tempi.vn",False,0,"",0,0,0
"theatrecomedy.com",True,75,"",0,0,18
"meetcyber.net",False,0,"",0,0,0
"10web.io",True,65,"",24,3,6
"codegym.vn",True,75,"6.9",0,0,18
"storylane.io",False,0,"",0,0,0
"systemweakness.com",False,0,"",0,0,0
"azweb.com.vn",True,90,"6.9",13,0,3
"optimiced.com",False,0,"",0,0,0
"nhabe.sawaco.com.vn",True,90,"6.9",13,0,6
"quizlet.com",False,0,"",0,0,0
"wpbeginner.com",True,35,"",13,1,12
"davidkehr.com",True,75,"",21,2,10
"hackertarget.com",True,75,"",5,0,1
"azsagency.com.vn",True,90,"6.9",29,2,4
"waspevape.com",True,90,"6.9",13,0,7
"anynamegen.com",False,0,"",0,0,0
"darksite.co.in",True,35,"",15,0,0
"wpallresources.com",True,90,"6.9",0,0,10
"cxsecurity.com",True,40,"",5,0,0
"e-padi.com",True,65,"",13,0,14
"trumvps.vn",True,90,"6.9",13,0,3
"exploit-db.com",False,15,"",0,0,0
"wpsecuritylock.com",True,90,"",16,1,8
"generate.support",True,50,"",13,0,2
"geeksforgeeks.org",False,20,"",0,0,0
"automatictransmission.com.au",True,75,"",0,0,18
"gofiber.vn",False,0,"",0,0,0
"4web.in",True,65,"6.9",29,2,13
"winwinmedia.vn",True,65,"6.9",0,0,14
"woocommerce.com",True,100,"6.9",21,2,6
"codepudding.com",False,0,"",0,0,0
"atcvietnam.com.vn",False,0,"",0,0,0
"routezero.security",True,90,"",13,0,4
"tenten.vn",False,0,"",0,0,0
"ginx.tv",True,65,"6.8.3",5,0,5
"telegra.ph",False,0,"",0,0,0
"hackernoon.com",True,40,"",15,0,0
"rdsic.edu.vn",False,0,"",0,0,0
"obelix.vn",False,15,"",0,0,0
"onestore.kyiv.ua",True,50,"",13,0,21
"repository.root-me.org",False,0,"",0,0,0
"action-market.ru",True,65,"6.9",13,0,20
"themewp.vn",True,75,"",13,0,4
"bkhost.vn",True,90,"",21,1,8
"vietnix.vn",True,90,"6.8.3",13,0,3
"blog.csdn.net",False,0,"",0,0,0
"wpturbo.dev",True,65,"",13,0,7
"howtowp.com",True,90,"6.9",13,0,8
"seocam.edu.vn",True,90,"6.3.7",29,2,9
"earlyrich.com",True,90,"6.9",45,4,7
"webbinhduong.com.vn",True,75,"",13,0,2
"bimhanoi.com.vn",True,90,"6.4.7",53,5,11
"brokenbow.com",False,0,"",0,0,0
"builtbybees.com",True,75,"",8,0,27
"solusipress.com",True,90,"6.3.7",13,0,11
"null-byte.wonderhowto.com",False,0,"",0,0,0
"kinsta.com",True,50,"",5,0,3
"bizfly.vn",False,0,"",0,0,0
"leblogdistanbul.com",True,90,"6.8.3",21,1,8
"phongmy.vn",True,90,"6.8.3",13,0,6
"personalinterests.lipingyang.org",False,25,"",0,0,0
"gist.icoder.workers.dev",False,0,"",0,0,0
"pointbplanning.com.au",True,90,"6.9",5,0,15
"museum-hub.org",True,90,"6.9",13,0,13
"cybersecuritywebtest.com",True,40,"",64,8,15
"johnrampton.com",True,65,"6.9",8,0,11
"compsmag.com",True,65,"6.9",13,0,6
"secure.wphackedhelp.com",False,0,"",0,0,0
"supernet.vn",True,75,"5.8.12",15,0,2
"netweb.vn",True,65,"5.8.12",28,0,6
"justintadlock.com",False,15,"",0,0,0
"valendigital.co.uk",False,0,"",0,0,0
"wplearninglab.com",False,25,"",0,0,0
"boxpiper.com",False,15,"",0,0,0
"wp-hasty.com",True,90,"6.4.7",0,0,2
"wordpress.pavietnam.vn",True,40,"",5,0,0
"pastebin.com",False,0,"",0,0,0
"k5-tokyo.com",True,50,"",5,0,5
